路径编号,业务ID,业务组名称,路径编码
1,"16200100
16200101
042E0102
042E0150
042E0121
042E0102
042E0150
042E0121
042E0150
042E0121
042E0102
16200101
042E0117","业务信息查询
业务信息查询
检索提取
航班详情
返回
检索提取
航班详情
返回
航班详情
返回
检索提取
业务信息查询
结束",-
2,"042E0102
042E0150
042E0121
042E0155
040Q0105
040Q0103
040Q0105
040Q0103
040Q0105
040Q0103
040Q0105
040Q0103
040Q0105
040O0211
042E0102
042E0102
042E0133
042E0117","检索提取
航班详情
返回
添加无订座
添加无订座
添加无订座
添加无订座
添加无订座
添加无订座
添加无订座
添加无订座
添加无订座
添加无订座
下一步值机
检索提取
检索提取
检索提取
结束",BRT_0401
3,"16200101
042E0115
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O020F
040O0210
040O0250
042E0121
042E0117","业务信息查询
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
行李交运
检索提取
里程查询
返回
结束",-
4,"042E0115
042E0185
042E0115
040O0233
040O0211
040O0210
040O020B
040O020B
040O0211
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0210
040O020B
040O020F
042E0121
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O0210
040O0210
040O020B
040O0210
040O020E
040O020E
040O0210
040O020E
040O020E
040O0210
040O020B
040O0210
040O020F
040O0293
040O0200
040O0264
040O0264
040O0264
042E0121
042E0117","检索提取
里程查询
检索提取
下一步值机
下一步值机
检索提取
选座接收
选座接收
下一步值机
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
检索提取
选座接收
行李交运
返回
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
检索提取
检索提取
选座接收
检索提取
修改座位
修改座位
检索提取
修改座位
修改座位
检索提取
选座接收
检索提取
行李交运
航班详情
下一步值机
值机接收
值机接收
值机接收
返回
结束",BRT_0402
5,"042E0115
042E0115
042E0115
040O0233
040O0211
040O0210
040O020B
040O020B
040O0211
040O0262
040O0210
040O020B
040O0293
040O0200
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
检索提取
选座接收
选座接收
下一步值机
值机接收
检索提取
选座接收
航班详情
下一步值机
返回
结束",BRT_0402
6,"16200101
16200101
16200101
16200101
042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","业务信息查询
业务信息查询
业务信息查询
业务信息查询
检索提取
下一步值机
下一步值机
行李交运
返回
结束",-
7,"042E0115
042E0115
040O0233
040O0211
040O020E
040O020E
040O020E
042E0121
042E0117","检索提取
检索提取
下一步值机
下一步值机
修改座位
修改座位
修改座位
返回
结束",BRT_0402
8,"042E0115
042E0185
042E0150
042E0121
042E0115
040O0233
040O0211
040O020F
040O0210
040O0250
040O0293
040O0200
040O0210
040O0238
040O0238
040O0293
040O0200
040O0264
042E0121
042E0117","检索提取
里程查询
航班详情
返回
检索提取
下一步值机
下一步值机
行李交运
检索提取
里程查询
航班详情
下一步值机
检索提取
重打牌
重打牌
航班详情
下一步值机
值机接收
返回
结束",BRT_0402
9,"16200101
042E0117","业务信息查询
结束",-
10,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020F
040O0238
040O0238
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
行李交运
重打牌
重打牌
返回
结束",BRT_0402
11,"042E0115
042E0115
042E0118
042E0185
042E0118
040O0233
040O0211
040O020F
040O0238
040O0238
042E0121
042E0117","检索提取
检索提取
检索提取
里程查询
检索提取
下一步值机
下一步值机
行李交运
重打牌
重打牌
返回
结束",BRT_0402
12,"042E0115
042E0115
042E0118
042E0170
040T0101
042E0121
042E0118
042E0146
042E0146
042E0100
042E0102
040O0233
040O0211
040O020F
042E0121
01010916","检索提取
检索提取
检索提取
旅客升降舱
旅客升降舱
返回
检索提取
重打牌
重打牌
检索提取
检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0409
13,"16200101
042E0115
042E0115
040O0233
040O0211
040O0238
040O0238
040O020F
040O020F
040O020F
040O0290
040R0301
040O0200
16200101
16200101
040O0210
040O0250
042E0121
042E0117","业务信息查询
检索提取
检索提取
下一步值机
下一步值机
重打牌
重打牌
行李交运
行李交运
行李交运
行李合并
行李合并
下一步值机
业务信息查询
业务信息查询
检索提取
里程查询
返回
结束",-
14,"042E0105
042E0105
040O0240
042E0105
042E0105
042E0118
042E0117","办理历史
办理历史
检索提取
办理历史
办理历史
检索提取
结束",BRT_040L
15,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
16,"042E0115
040O0233
040O0211
040O0250
040O0250
040O0293
040O0200
040O0250
040O020D
040O0250
042E0121
042E0117","检索提取
下一步值机
下一步值机
里程查询
里程查询
航班详情
下一步值机
里程查询
选座接收加行李
里程查询
返回
结束",BRT_0402
17,"042E0115
042E0115
042E0118
042E0115
040O0233
040O0211
040O020A
040O020A
040O0211
040O0210
040O0250
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
值机接收
值机接收
下一步值机
检索提取
里程查询
返回
结束",BRT_0402
18,"042E0115
042E0115
042E0118
042E0118
042E0185
040O0233
040O0211
040O020A
040O020A
040O0211
040O0293
040O0200
040O0264
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
里程查询
下一步值机
下一步值机
值机接收
值机接收
下一步值机
航班详情
下一步值机
值机接收
返回
结束",BRT_0402
19,"042E0115
042E0146
042E0146
042E0117","检索提取
重打牌
重打牌
结束",BRT_0402
20,"042E0115
042E0115
040O0233
040O0211
040O020F
040O0210
040O0210
040O0238
040O0238
042E0121
042E0150
042E0121
042E0118
042E0185
042E0150
040P0206
040P0200
042E0121
042E0117","检索提取
检索提取
下一步值机
下一步值机
行李交运
检索提取
检索提取
重打牌
重打牌
返回
航班详情
返回
检索提取
里程查询
航班详情
座位锁放
航班详情
返回
结束",BRT_0402
21,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
22,"042E0115
040O0233
040O0211
040O0250
040O0293
040O0200
040O020B
042E0121
042E0117","检索提取
下一步值机
下一步值机
里程查询
航班详情
下一步值机
选座接收
返回
结束",BRT_0402
23,"042E0102
042E0150
042E0121
042E0102
042E0150
042E0121
042E0117","检索提取
航班详情
返回
检索提取
航班详情
返回
结束",BRT_0401
24,"042E0102
042E0151
043L1213
042E0121
042E0117","检索提取
座位锁放
None
返回
结束",BRT_0401
25,"042E0115
040O0233
040O0211
040O0250
040O020B
040O0293
040O0200
040O0264
042E0121
042E0117","检索提取
下一步值机
下一步值机
里程查询
选座接收
航班详情
下一步值机
值机接收
返回
结束",BRT_0402
26,"042E0115
040O0233
040O0211
040O0238
042E0121
042E0146
042E0146
042E0117","检索提取
下一步值机
下一步值机
重打牌
返回
重打牌
重打牌
结束",BRT_0402
27,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
01010910
040P0206
043L1213
040P0200
040O0233
040O0211
040O0210
040O020B
040O020B
040O0211
040O0210
040O020F
040O020F
040O0210
040O020B
040O020B
040O0211
040O0210
040O020B
040O0210
040O0290
040R0301
040O0200
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
框架公共功能
座位锁放
None
航班详情
下一步值机
下一步值机
检索提取
选座接收
选座接收
下一步值机
检索提取
行李交运
行李交运
检索提取
选座接收
选座接收
下一步值机
检索提取
选座接收
检索提取
行李合并
行李合并
下一步值机
返回
结束",BRT_0402
28,"042E0102
042E0151
043L1213
042E0121
01010916","检索提取
座位锁放
None
返回
结束",BRT_0406
29,"042E0102
042E0102
042E0151
043L1213
042E0121
042E0150
042E0121
042E0151
042E0121
042E0117","检索提取
检索提取
座位锁放
None
返回
航班详情
返回
座位锁放
返回
结束",BRT_0401
30,"042E0115
042E0115
040O0233
040O0211
040O0210
040O0250
040O0238
040O0238
040O0210
040O020B
040O0264
040O0210
040O0282
040T0101
040O0200
040O0210
040O0250
042E0121
042E0117","检索提取
检索提取
下一步值机
下一步值机
检索提取
里程查询
重打牌
重打牌
检索提取
选座接收
值机接收
检索提取
旅客升降舱
旅客升降舱
下一步值机
检索提取
里程查询
返回
结束",BRT_0402
31,"042E0115
040O0233
040O0211
040O0221
043L1213
040O0200
040O020B
040O0262
040O0262
042E0121
042E0117","检索提取
下一步值机
下一步值机
座位锁放
None
下一步值机
选座接收
值机接收
值机接收
返回
结束",BRT_0402
32,"042E0115
040O0233
040O0211
040O020B
040O020F
040O0250
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
行李交运
里程查询
返回
结束",BRT_0402
33,"16200100
16200101
16200101
042E0117","业务信息查询
业务信息查询
业务信息查询
结束",-
34,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0118
042E0146
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
结束",BRT_0402
