路径编号,业务ID,业务组名称,操作简称,路径编码
1,"042E0200
042E0235
042E0185
042E0200
042E0235
042E0185
042E0200
042E0235
042E0200
042E0235
040O0211
040O0211
040O020B
040O020B
040O0211
040O020B
040O020B
040O0211
040O0210
040O0211
040O020E
040O0264
042E0200
042E0235
042E0212
040O0270
043L0102
01010916","检索提取
检索提取
里程查询
检索提取
检索提取
里程查询
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
下一步值机
选座接收
选座接收
下一步值机
检索提取
下一步值机
修改座位
值机接收
检索提取
检索提取
检索提取
旅客详情入口
旅客详情-查看员工信息
结束","新旅客检索页面加载
切换已选定旅客列表
里程查询按钮
新旅客检索页面加载
切换已选定旅客列表
里程查询按钮
新旅客检索页面加载
切换已选定旅客列表
新旅客检索页面加载
切换已选定旅客列表
点击座位图刷新
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
切换旅客列表
点击座位图刷新
已值机旅客 ， 只改座位，不加行李
全舱座位图/当前舱位按钮
新旅客检索页面加载
切换已选定旅客列表
航班模式检索操作
旅客详情按钮
查看员工详细信息
关闭当前页面",-
2,"042E0212
040O0211
040O0264
040O0264
040O0210
040O0211
040O020E
040O0210
040O0238
040O0238
040O0238
040O0210
040O0211
040O020E
040O0264
040O0293
040O0200
042E0200
042E0223","检索提取
下一步值机
值机接收
值机接收
检索提取
下一步值机
修改座位
检索提取
重打牌登机牌
重打牌登机牌
重打牌登机牌
检索提取
下一步值机
修改座位
值机接收
航班详情入口
下一步值机
检索提取
结束","航班模式检索操作
点击座位图刷新
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
切换旅客列表
点击座位图刷新
已值机旅客 ， 只改座位，不加行李
切换旅客列表
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
切换旅客列表
点击座位图刷新
已值机旅客 ， 只改座位，不加行李
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
新旅客检索页面加载
清空已选旅客操作",BRT_0404
3,"042E0212
042E0150
042E0200
042E0219
042E0212
042E0150
042E0200
042E0201
042E0214
042E0235
042E0211
040O0211
040O0211
040O020B
040O020B
040O0211
042E0200
042E0223","检索提取
航班详情入口
检索提取
检索提取
检索提取
航班详情入口
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
下一步值机
检索提取
结束","航班模式检索操作
航班详情按钮
新旅客检索页面加载
航班模式-选中/取消选中旅客操作
航班模式检索操作
航班详情按钮
新旅客检索页面加载
旅客模式页签切换操作
旅客模式/航班模式-提取非当天航班操作
切换已选定旅客列表
旅客模式检索操作
点击座位图刷新
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
新旅客检索页面加载
清空已选旅客操作",BRT_0404
4,"042E0200
042E0235
040O0211
040O0211
040O020E
040O0238
040O0238
040O0238
042E0200
042E0223","检索提取
检索提取
下一步值机
下一步值机
修改座位
重打牌登机牌
重打牌登机牌
重打牌登机牌
检索提取
结束","新旅客检索页面加载
切换已选定旅客列表
点击座位图刷新
点击座位图刷新
已值机旅客 ， 只改座位，不加行李
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
新旅客检索页面加载
清空已选旅客操作",-
5,"042E0200
042E0223","检索提取
结束","新旅客检索页面加载
清空已选旅客操作",-
6,"042E0200
042E0235
040O0211
040O0211
040O020B
040O0211
040O020F
040O0264
042E0200
042E0223","检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
添加行李-旅客处理
值机接收
检索提取
结束","新旅客检索页面加载
切换已选定旅客列表
点击座位图刷新
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
全舱座位图/当前舱位按钮
新旅客检索页面加载
清空已选旅客操作",-
7,"042E0200
042E0223","检索提取
结束","新旅客检索页面加载
清空已选旅客操作",-
8,"042E0200
042E0235
042E0185
042E0150
042E0200
042E0235
040O0211
040O0264
040O0293
040O0200
040O0211
040O020B
042E0200
042E0235
042E0200
042E0223","检索提取
检索提取
里程查询
航班详情入口
检索提取
检索提取
下一步值机
值机接收
航班详情入口
下一步值机
下一步值机
选座接收
检索提取
检索提取
检索提取
结束","新旅客检索页面加载
切换已选定旅客列表
里程查询按钮
航班详情按钮
新旅客检索页面加载
切换已选定旅客列表
点击座位图刷新
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
新旅客检索页面加载
切换已选定旅客列表
新旅客检索页面加载
清空已选旅客操作",-
9,"042E0200
042E0200
042E0235
042E0200
042E0235
042E0185
042E0235
040O0211
040O0264
040O0293
040O0200
040O0264
040O0264
040O0264
040O0264
040O0264
040O0211
040O020B
040O0211
040O020F
040O0210
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
里程查询
检索提取
下一步值机
值机接收
航班详情入口
下一步值机
值机接收
值机接收
值机接收
值机接收
值机接收
下一步值机
选座接收
下一步值机
添加行李-旅客处理
检索提取
下一步值机
添加行李-旅客处理
检索提取
检索提取
结束","新旅客检索页面加载
新旅客检索页面加载
切换已选定旅客列表
新旅客检索页面加载
切换已选定旅客列表
里程查询按钮
切换已选定旅客列表
点击座位图刷新
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
切换旅客列表
点击座位图刷新
已值机旅客 ，不改座位，只加行李
新旅客检索页面加载
切换已选定旅客列表
清空已选旅客操作",-
10,"042E0211
042E0214
042E0235
042E0211
042E0235
042E0211
042E0235
040O0211
040O0210
040O0250
040O0210
040O0238
040O0238
040O0238
040O0264
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
检索提取
里程查询
检索提取
重打牌登机牌
重打牌登机牌
重打牌登机牌
值机接收
检索提取
检索提取
结束","旅客模式检索操作
旅客模式/航班模式-提取非当天航班操作
切换已选定旅客列表
旅客模式检索操作
切换已选定旅客列表
旅客模式检索操作
切换已选定旅客列表
点击座位图刷新
切换旅客列表
里程查询按钮
切换旅客列表
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
全舱座位图/当前舱位按钮
新旅客检索页面加载
切换已选定旅客列表
清空已选旅客操作",BRT_0403
11,"042E0200
042E0223","检索提取
结束","新旅客检索页面加载
清空已选旅客操作",-
12,"042E0200
042E0213
042E0235
042E0185
042E0235
040O0211
040O0264
040O0293
040O0200
040O0264
040O020A
040O0211
040O020A
040O0211
040O020A
040O0264
040O020A
040O0282
040T0111
040O0200
040O0264
040O0293
040O0200
040O020A
040O0211
040O020A
040O0211
040O020A
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
里程查询
检索提取
下一步值机
值机接收
航班详情入口
下一步值机
值机接收
值机接收
下一步值机
值机接收
下一步值机
值机接收
值机接收
值机接收
旅客升降舱入口
旅客升降舱
下一步值机
值机接收
航班详情入口
下一步值机
值机接收
下一步值机
值机接收
下一步值机
值机接收
检索提取
检索提取
结束","新旅客检索页面加载
旅客模式-客票列表选择唯一行程操作
切换已选定旅客列表
里程查询按钮
切换已选定旅客列表
点击座位图刷新
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
全舱座位图/当前舱位按钮
未值机旅客 值机，不指定座位，不加行李
点击座位图刷新
未值机旅客 值机，不指定座位，不加行李
点击座位图刷新
未值机旅客 值机，不指定座位，不加行李
全舱座位图/当前舱位按钮
未值机旅客 值机，不指定座位，不加行李
旅客升降舱按钮
旅客升降舱-未值机旅客是否同步接收弹框，“是”按钮
值机页面加载
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
未值机旅客 值机，不指定座位，不加行李
点击座位图刷新
未值机旅客 值机，不指定座位，不加行李
点击座位图刷新
未值机旅客 值机，不指定座位，不加行李
新旅客检索页面加载
切换已选定旅客列表
清空已选旅客操作",-
13,"042E0212
042E0201
042E0213
042E0235
042E0211
040O0211
040O020A
040O0211
040O020A
040O0211
040O020A
040O0264
040O020A
040O0211
040O020A
040O0211
040O020A
040O0211
040O020A
042E0200
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
值机接收
下一步值机
值机接收
下一步值机
值机接收
值机接收
值机接收
下一步值机
值机接收
下一步值机
值机接收
下一步值机
值机接收
检索提取
结束","航班模式检索操作
旅客模式页签切换操作
旅客模式-客票列表选择唯一行程操作
切换已选定旅客列表
旅客模式检索操作
点击座位图刷新
未值机旅客 值机，不指定座位，不加行李
点击座位图刷新
未值机旅客 值机，不指定座位，不加行李
点击座位图刷新
未值机旅客 值机，不指定座位，不加行李
全舱座位图/当前舱位按钮
未值机旅客 值机，不指定座位，不加行李
点击座位图刷新
未值机旅客 值机，不指定座位，不加行李
点击座位图刷新
未值机旅客 值机，不指定座位，不加行李
点击座位图刷新
未值机旅客 值机，不指定座位，不加行李
新旅客检索页面加载
清空已选旅客操作",BRT_0404
14,"042E0200
042E0213
042E0235
042E0170
040T0101
040T0101
042E0200
042E0235
040O0211
040O020F
01010903","检索提取
检索提取
检索提取
旅客升降舱入口
旅客升降舱
旅客升降舱
检索提取
检索提取
下一步值机
添加行李-旅客处理
结束","新旅客检索页面加载
旅客模式-客票列表选择唯一行程操作
切换已选定旅客列表
旅客升降舱按钮
升降舱-确定按钮
升降舱-确定按钮
新旅客检索页面加载
切换已选定旅客列表
点击座位图刷新
已值机旅客 ，不改座位，只加行李
用户注销按钮",BRT_040V
15,"042E0105
042E0117","办理历史
结束","查询办理历史按钮
旅客检索清空按钮",BRT_040L
