路径编号,业务ID,业务组名称,操作简称,路径编码
1,"042E0115
042E0146
042E0146
042E0115
042E0118
042E0146
042E0146
042E0115
042E0118
042E0146
042E0146
042E0115
042E0118
042E0146
042E0146
01010102
042E0100
01010903","检索提取
重打牌登机牌
重打牌登机牌
检索提取
检索提取
重打牌登机牌
重打牌登机牌
检索提取
检索提取
重打牌登机牌
重打牌登机牌
检索提取
检索提取
重打牌登机牌
重打牌登机牌
登录
检索提取
结束","旅客提取页签检索按钮
重打登机牌按钮
重打登机牌按钮
旅客提取页签检索按钮
序号输入框选中旅客
重打登机牌按钮
重打登机牌按钮
旅客提取页签检索按钮
序号输入框选中旅客
重打登机牌按钮
重打登机牌按钮
旅客提取页签检索按钮
序号输入框选中旅客
重打登机牌按钮
重打登机牌按钮
登录按钮
旅客检索页面加载
用户注销按钮",BRT_040I
2,"042E0115
042E0146
042E0146
01010102
042E0100
042E0112
042E0102
042E0102
042E0117","检索提取
重打牌登机牌
重打牌登机牌
登录
检索提取
检索提取
检索提取
检索提取
结束","旅客提取页签检索按钮
重打登机牌按钮
重打登机牌按钮
登录按钮
旅客检索页面加载
列表切换旅客
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客检索清空按钮",BRT_0402
3,"042E0115
042E0146
042E0146
042E0115
042E0118
042E0146
042E0146
01010903","检索提取
重打牌登机牌
重打牌登机牌
检索提取
检索提取
重打牌登机牌
重打牌登机牌
结束","旅客提取页签检索按钮
重打登机牌按钮
重打登机牌按钮
旅客提取页签检索按钮
序号输入框选中旅客
重打登机牌按钮
重打登机牌按钮
用户注销按钮",BRT_040I
4,"042E0115
042E0146
042E0146
042E0115
042E0115
042E0118
042E0146
042E0146
01010903","检索提取
重打牌登机牌
重打牌登机牌
检索提取
检索提取
检索提取
重打牌登机牌
重打牌登机牌
结束","旅客提取页签检索按钮
重打登机牌按钮
重打登机牌按钮
旅客提取页签检索按钮
旅客提取页签检索按钮
序号输入框选中旅客
重打登机牌按钮
重打登机牌按钮
用户注销按钮",BRT_040I
5,"042E0115
042E0146
042E0146
01010903","检索提取
重打牌登机牌
重打牌登机牌
结束","旅客提取页签检索按钮
重打登机牌按钮
重打登机牌按钮
用户注销按钮",BRT_040I
6,"042E0115
042E0146
042E0146
042E0146
16270100
16280100
16280100
01010903","检索提取
重打牌登机牌
重打牌登机牌
重打牌登机牌
None
None
None
结束","旅客提取页签检索按钮
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
None
None
None
用户注销按钮",BRT_040I
7,"042E0115
042E0146
042E0146
01010102
042E0100
042E0115
01010903","检索提取
重打牌登机牌
重打牌登机牌
登录
检索提取
检索提取
结束","旅客提取页签检索按钮
重打登机牌按钮
重打登机牌按钮
登录按钮
旅客检索页面加载
旅客提取页签检索按钮
用户注销按钮",BRT_040I
8,"042E0115
01010903","检索提取
结束","旅客提取页签检索按钮
用户注销按钮",BRT_040I
9,"042E0115
042E0146
042E0146
01010903","检索提取
重打牌登机牌
重打牌登机牌
结束","旅客提取页签检索按钮
重打登机牌按钮
重打登机牌按钮
用户注销按钮",BRT_040I
10,"042E0115
042E0146
042E0146
042E0146
042E0146
01010903","检索提取
重打牌登机牌
重打牌登机牌
重打牌登机牌
重打牌登机牌
结束","旅客提取页签检索按钮
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
用户注销按钮",BRT_040I
11,"042E0115
042E0146
042E0146
042E0146
042E0146
042E0146
042E0146
01010903","检索提取
重打牌登机牌
重打牌登机牌
重打牌登机牌
重打牌登机牌
重打牌登机牌
重打牌登机牌
结束","旅客提取页签检索按钮
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
用户注销按钮",BRT_040I
